page,index,会社名,勤務地,給与
1.0,1.0,株式会社LAVA International | 働きがいのある企業3年連続受賞*未経験歓迎*年休110日*手当充実,《店舗数No.1！》全国に441店舗以上ある「ホットヨガスタジオLAVA」各店にて勤務 ※転勤なし…,選べる2つの働き方をご用意しています！ ■全国勤務 月給22.4万円〜60万円 ■エリア限定勤務／転居なし…
1.0,2.0,株式会社ドリーム・サービス | 未経験から年収700万円を目指せる/基本定時退社/有休消化100％,【「南森町」駅スグのオフィス！】 ※U・Iターン歓迎 ※現地集合&現地解散 ◆大阪府大阪市北区西天…,月給 21万円 〜 30万円 + 諸手当 + 賞与(年2回) 《モデル年収例》 年収700万円／25歳・経験3年 年収400…
1.0,3.0,株式会社テクノスイコー | ◎応募前相談OK◎残業手当100％支給 <大阪府緊急雇用対策に賛同>,《大阪・兵庫・奈良・京都で積極採用！》 《全国転勤なし！》 ★通勤しやすい希望の地域で働けます！…,月給 19万円以上 +（各種手当） ※経験・年齢・スキル・前職給与などを考慮の上、当社規定により優遇しま…
1.0,4.0,株式会社ワット・コンサルティング | 質の高い研修が魅力！★未経験向け研修カリキュラム期間No.1,北海道から九州まで全国各地で大募集！ ※希望を考慮し配属します。 ※UIターンを考えている方も ご…,"【未経験】 月給19万5,000円〜24万円＋住宅手当＋各種手当 【経験者】 月給24万円〜45万500円＋住宅手当…"
1.0,5.0,生活協同組合コープこうべ | 【創立100年】残業少なめ月15h程度／安定月給＋賞与年2回＋昇給,◆大阪北部と兵庫県内各地の協同購入センター 【大阪エリア】 高槻／高槻市玉川 【阪神エリア】 ＜神…,◆月給：22万6000円以上＋諸手当 ※当初２ヶ月間は契約職員（契約期間も給与額は同額）。 　契約期間満了…
2.0,1.0,株式会社クラシアン | ★毎年依頼件数が増加中★ ※家庭を大事にできる会社,☆転勤なし ☆勤務地は相談に応じます。 ☆車通勤OK／社用車貸与 ◆北海道・東北 北海道、岩手県、…,月給22万円以上 + 歩合給 + 諸手当 ※スキル・経験等を考慮の上、弊社規定により優遇します。 ※試用期間…
2.0,2.0,株式会社夢テクノロジー | 未経験からキャリアアップできる会社No.1(※)／研修最大3ヶ月,＜各エリアにて採用中！＞ ※希望エリアを考慮 【在宅勤務実施中です】※配属先によって異なります。…,◆月給19.5万円〜27万円(一律手当3万含む)＋残業手当100％＋交通費＋賞与2回 【研修期間中(1〜3ヶ月)も…
2.0,3.0,日研トータルソーシング株式会社 | 大阪府緊急雇用対策に賛同◆未経験歓迎◆残業ほぼなし,◎全国各地に勤務地があります！ ・希望を考慮して配属先を決定。 ・エリアを超える転勤なし 結婚等で…,A：月給25万5000円〜 B：月給23万3000円〜 A…関東・甲信越A、東海、近畿エリア B…北海道・東北、関東…
2.0,4.0,株式会社クラシアン | 【転勤なし】日本全国に展開中！好きな街で働ける！◆月9日休み,☆転勤なし ☆勤務地は相談に応じます。 ☆車通勤OK／社用車貸与 ◆北海道・東北 北海道、岩手県、…,月給22万円以上 + 歩合給 + 諸手当 ※スキル・経験等を考慮の上、弊社規定により優遇します。 ※試用期間…
2.0,5.0,布亀株式会社 | 創業143年の老舗企業。健康と笑顔を地域の方々にお届けする仕事,＜転居を伴う転勤なし！＞ ★関東募集中！ ★ガソリン代も100％支給 関東全域（首都圏/北関東）の…,"月給：24万6,000円〜+インセンティブ ※あなたの経験やスキルを最大限に考慮させていただきます。 ※上…"
2.0,6.0,ダイセル網干産業株式会社 | ＜(株)ダイセルの100％出資子会社＞★賞与年4.5か月分支給実績有,☆転勤はありません ☆マイカー、バイク通勤OK ☆U・Iターン歓迎 兵庫県姫路市網干区新在家123…,月給／18万円〜 + 諸手当 ＋ 賞与年2回（前年度実績：4.5ヶ月分支給） ※年齢、経験、能力を考慮し、当…
2.0,7.0,株式会社ハウスメイトショップ | ＼残業は月平均20ｈ以下★賞与平均4.6ヶ月分★手当制度も充実／,北海道、栃木県、埼玉県、千葉県、東京都、大阪府、兵庫県、熊本県など各店舗 ※居住地・ご希望に応じ決…,月給19万円〜24万円＋諸手当+賞与年2回（昨年度平均4.6ヶ月分支給実績！） ★各種手当の詳細は＜諸手当…
2.0,8.0,TSネットワーク株式会社 | JTグループならではの安定基盤と待遇★賞与・昨年度実績5.69カ月,千葉流通センター/千葉県千葉市美浜区新港86-3 神奈川流通センター/神奈川県座間市広野台2丁目1…,〈千葉・神奈川〉 月給21万8500円〜24万8400円（一律支給の手当含む）＋賞与年2回（昨年度実績5.69ヶ月）…
2.0,9.0,株式会社ビッグモーター | ＼平均年収860万円 ◆ 年収2000万円超の実績あり／,【全国約300店舗！転勤なし！マイカー通勤OK！】 ★勤務地は希望を最大限考慮します！ 北海道 東…,月給22万8600円〜70万円（一律手当含む）＋インセンティブ＋賞与年2回＋諸手当 ※年齢・能力を考慮のう…
2.0,10.0,株式会社ビッグモーター | ＼業界No.1 ◆ 店舗別採用 ◆ 85％が年収650万円以上／,《全国約300店舗！転勤なし！マイカー・自転車通勤OK！》 ★勤務地は最寄り・希望の店舗を選べます…,月給22万8600円〜70万円（一律手当含む）＋インセンティブ＋賞与年2回＋諸手当 ※ご経験・ご年齢を考慮…
2.0,11.0,Evand株式会社 | 【Suprieveグループ】※在宅勤務OK／大阪府緊急雇用対策に賛同,【転居を伴う転勤なし】 現在の居住地を考慮し、以下いずれかの勤務地へ配属します。 大阪本社／大阪府…,◆月給：20万円〜26万円＋諸手当 ※経験・能力・年齢を考慮し決定します ※ポジションによって金額が異…
2.0,12.0,株式会社ビッグモーター | 【業界No.1企業】転勤なし★地元勤務できる正社員★未経験歓迎！,【全国約300店舗／転勤なし／マイカー・自転車通勤OK！】 ★希望勤務地への配属です ★U・Iター…,月給22万8600円〜70万円(一律手当含)＋インセンティブ＋賞与年2回+諸手当 ※ご経験・ご年齢を考慮の上、…
2.0,13.0,株式会社オープンハウス | 東証一部上場◆20代の管理職率76％◆年4回昇給&昇格のチャンス有,《東京・神奈川・埼玉・千葉・愛知・大阪・兵庫・福岡の営業拠点での勤務》 ★希望勤務地を考慮します。…,"月給30万円以上＋賞与年2回 ★年収1,000万円突破率は入社3年で30％、5年で60％！ ※経験・スキルを考慮…"
2.0,14.0,日産販売会社グループ合同募集 | 全国の日産販売会社で正社員募集！未経験歓迎！,★県外への転勤なし！ ★希望の勤務地を考慮し決定 ★Uターン、Iターン希望の方も歓迎！ 【募集して…,月給15万5000円〜35万8000円＋各種手当＋インセンティブ ◎北海道・東北 月給15万5000円〜24万5000円 …
2.0,15.0,株式会社ビッグモーター | 億単位の設備とクリーンな環境／賞与年2回／経験者優遇,《転勤なし！U・Iターン歓迎！マイカー通勤OK！》 ★勤務地は希望を最大限考慮します！ 下記エリア…,月給22万9900円〜60万円＋インセン（月平均10〜20万円）＋諸手当（資格手当など）＋賞与年2回 ※スキル…
2.0,16.0,日研トータルソーシング株式会社 | 大阪府緊急雇用対策に賛同◆年休最大160日◆地域限定正社員,◎全国各地に勤務地があります！ ・希望を考慮して配属先を決定。 ・エリアを超える転勤なし 結婚等で…,A：月給25万5000円〜 B：月給23万3000円〜 A…関東・甲信越A、東海、近畿エリア B…北海道・東北、関東…
2.0,17.0,株式会社 サービスネット甲子園 | 大手ガス機器メーカー「ノーリツ（東証一部上場）」のパートナー,【阪急・阪神「今津駅」から徒歩6分！】 ★転勤なし 兵庫県西宮市津門住江町12-17 ※バイク・自…,◆未経験：月給25万円〜＋諸手当＋賞与年2回 ◆経験者：月給32万円〜＋諸手当＋賞与年2回 ※年齢・経験…
2.0,18.0,株式会社シンクラン | ★連休もOK！★創業約50年の安定企業！◎面接1回でスピード入社,★転勤なし！U/Iターン歓迎♪ ※全国のコカ・コーラ社の営業所が勤務場所です。 ▼北海道・東北 札…,月給21万8800円〜 ※上記は最低支給額になります。年齢・スキル・前職・勤務地を考慮のうえ、決定いたし…
2.0,19.0,株式会社IDOM | 旧社名：ガリバーインターナショナル◇Gulliver◇東証1部上場◇,全国(47都道府県)のガリバー直営店舗及び事業所 初期配属はご相談可能！ 〜〜全国で積極採用中！〜…,月給23万円〜＋インセンティブ ※前職給与・経験を考慮し決定いたします ※月給金額には固定残業手当・…
